customer_id,limit_id,limit_product,currency,approved_limit,utilized,available,collateral_id,collateral_type,collateral_value
100106,LIM100106P,PERSONAL,INR,715905,479718,236187,,,0
100120,LIM100120P,PERSONAL,INR,723088,550265,172823,,,0
100203,LIM100203P,PERSONAL,INR,772063,485369,286694,,,0
100176,LIM100176P,PERSONAL,INR,377766,353296,24470,,,0
100170,LIM100170H,HOME,INR,5722482,5445016,277466,COL100170H,PROPERTY,8275412
100142,LIM100142P,PERSONAL,INR,217082,190477,26605,,,0
100161,LIM100161H,HOME,INR,5798754,2205406,3593348,COL100161H,PROPERTY,6877657
100128,LIM100128B,BUSINESS,INR,3018559,2089352,929207,COL100128B,PROPERTY,2061581
100218,LIM100218H,HOME,INR,3649544,2226608,1422936,COL100218H,PROPERTY,4772629
100121,LIM100121B,BUSINESS,INR,4096341,2637666,1458675,COL100121B,PROPERTY,3087238
100196,LIM100196P,PERSONAL,INR,483020,435835,47185,,,0
100124,LIM100124P,PERSONAL,INR,790058,749665,40393,,,0
100113,LIM100113P,PERSONAL,USD,39939,34770,5169,,,0
100215,LIM100215P,PERSONAL,INR,776991,520562,256429,,,0
100143,LIM100143P,PERSONAL,INR,362071,232957,129114,,,0
100137,LIM100137B,BUSINESS,INR,3093928,2902402,191526,COL100137B,PROPERTY,2593674
100206,LIM100206P,PERSONAL,INR,155065,117650,37415,,,0
100105,LIM100105H,HOME,INR,7116691,4529554,2587137,COL100105H,PROPERTY,10490093
100139,LIM100139B,BUSINESS,INR,5616179,5042979,573200,COL100139B,PROPERTY,4838668
100129,LIM100129P,PERSONAL,INR,234327,151663,82664,,,0
100152,LIM100152P,PERSONAL,INR,353528,146495,207033,,,0
100175,LIM100175P,PERSONAL,INR,722464,542750,179714,,,0
100211,LIM100211P,PERSONAL,INR,252544,149832,102712,,,0
100101,LIM100101H,HOME,INR,3300148,1168576,2131572,COL100101H,PROPERTY,4260430
100188,LIM100188P,PERSONAL,INR,329963,117751,212212,,,0
100184,LIM100184P,PERSONAL,INR,787733,720288,67445,,,0
100132,LIM100132P,PERSONAL,INR,612728,376891,235837,,,0
100185,LIM100185B,BUSINESS,INR,5691797,3540635,2151162,COL100185B,PROPERTY,4298374
100164,LIM100164H,HOME,INR,5929824,4373414,1556410,COL100164H,PROPERTY,8339295
100155,LIM100155P,PERSONAL,INR,520325,388722,131603,,,0
100145,LIM100145H,HOME,INR,5417305,4261874,1155431,COL100145H,PROPERTY,7123232
100154,LIM100154P,PERSONAL,INR,412974,324190,88784,,,0
100204,LIM100204H,HOME,INR,6016845,3717595,2299250,COL100204H,PROPERTY,6780481
100169,LIM100169P,PERSONAL,USD,7899,6339,1560,,,0
